"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-c43074b9-123304","c43074b9793a140a","2026-02-26 12:30:00+05:30","2026-02-26 12:30:00+05:30","2026-02-26 12:33:04+0530","2026-02-26 13:32:42+0530","REMSONSIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2248","111.14","111.97","111.97","109.81","SL","-1865.84","-0.7468","0.4756","0.0","1.0"
"PT-b19d137c-133145","b19d137ce866bd48","2026-02-26 13:30:00+05:30","2026-02-26 13:30:00+05:30","2026-02-26 13:31:45+0530","2026-02-26 13:43:32+0530","ARVINDFASN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","575","433.88","437.14","437.14","428.67","SL","-1874.5","-0.7514","0.8032","0.0","1.0"
"PT-a5882796-121755","a5882796a690356f","2026-02-26 12:15:00+05:30","2026-02-26 12:15:00+05:30","2026-02-26 12:17:55+0530","2026-02-26 14:28:18+0530","MUTHOOTFIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","72","3441.18","3399.88","3466.99","3399.88","TARGET","2973.6","1.2002","0.5671","0.0","1.0"
"PT-2a27f6d8-121830","2a27f6d8794448eb","2026-02-26 12:15:00+05:30","2026-02-26 12:15:00+05:30","2026-02-26 12:18:30+0530","2026-02-26 15:20:00+0530","TRENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","64","3865.77","3860.2","3894.77","3819.38","EOD_CLOSE","356.48","0.1441","0.6384","0.0","1.0"
