"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-41338b99-110241","41338b99f3e7e988","2026-02-27 11:00:00+05:30","2026-02-27 11:00:00+05:30","2026-02-27 11:02:41+0530","2026-02-27 11:37:26+0530","KARURVYSYA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","766","325.84","321.93","328.29","321.93","TARGET","2995.06","1.2","0.7589","0.0","1.0"
"PT-fea6a944-111716","fea6a944bf146c82","2026-02-27 11:15:00+05:30","2026-02-27 11:15:00+05:30","2026-02-27 11:17:16+0530","2026-02-27 11:42:46+0530","CREDITACC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","196","1269.86","1254.62","1279.39","1254.62","TARGET","2987.04","1.2001","0.8366","0.0","1.0"
"PT-4e5b3feb-104810","4e5b3feb0546d7d7","2026-02-27 10:45:00+05:30","2026-02-27 10:45:00+05:30","2026-02-27 10:48:10+0530","2026-02-27 13:08:37+0530","SBFC","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","2641","94.6","95.36","95.36","93.51","SL","-2007.16","-0.8034","0.6037","0.0","1.0"
"PT-47c57630-131655","47c576301079862c","2026-02-27 13:15:00+05:30","2026-02-27 13:15:00+05:30","2026-02-27 13:16:55+0530","2026-02-27 13:50:40+0530","SAFARI","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","138","1800.9","1814.4","1814.4","1779.29","SL","-1863.0","-0.7496","0.6262","0.0","1.0"
"PT-c65111be-120247","c65111bea00e0094","2026-02-27 12:00:00+05:30","2026-02-27 12:00:00+05:30","2026-02-27 12:02:47+0530","2026-02-27 14:44:26+0530","JKTYRE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","491","508.25","502.15","512.06","502.15","TARGET","2995.1","1.2002","0.7721","0.0","1.0"
"PT-909ec47c-103203","909ec47c366cd6f6","2026-02-27 10:30:00+05:30","2026-02-27 10:30:00+05:30","2026-02-27 10:32:03+0530","2026-02-27 15:20:02+0530","EMAMILTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","536","466.12","462.0","469.85","460.75","EOD_CLOSE","2208.32","0.8839","0.6248","0.0","1.0"
