"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"b7c8e44fbf49f3d7","2026-03-04 10:45:00+05:30","2026-03-04 10:46:34+0530","2026-03-04 10:46:34+0530","2026-03-04 10:46:34+0530","UNITDSPR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1335.9","1345.92","1319.87","0.5859","0.005868","26.84","37.0","187","2026-03-04 10:45:00+05:30","2026-03-04 10:45:00+05:30"
"429835796f55bd9c","2026-03-04 11:00:00+05:30","2026-03-04 11:01:05+0530","2026-03-04 11:01:05+0530","2026-03-04 11:01:05+0530","PNB","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","121.62","122.53","120.16","0.7962","0.007695","25.73","50.56","2055","2026-03-04 11:00:00+05:30","2026-03-04 11:00:00+05:30"
"a40f86b348644a1f","2026-03-04 11:00:00+05:30","2026-03-04 11:01:12+0530","2026-03-04 11:01:12+0530","2026-03-04 11:01:12+0530","SAIL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","153.6","154.75","151.76","0.6513","0.01366","28.68","41.47","1627","2026-03-04 11:00:00+05:30","2026-03-04 11:00:00+05:30"
"996b0c948af3083e","2026-03-04 11:00:00+05:30","2026-03-04 11:01:15+0530","2026-03-04 11:01:15+0530","2026-03-04 11:01:15+0530","SHARDACROP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1057.1","1065.03","1044.41","0.8043","0.014013","18.47","57.4","236","2026-03-04 11:00:00+05:30","2026-03-04 11:00:00+05:30"
"6c0801a6f1bfed2e","2026-03-04 11:15:00+05:30","2026-03-04 11:15:44+0530","2026-03-04 11:15:44+0530","2026-03-04 11:15:44+0530","INDOAMIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","101.46","102.22","100.24","0.4948","0.007437","25.55","34.6","2464","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30"
"b9b7837f61d26f1f","2026-03-04 11:15:00+05:30","2026-03-04 11:15:54+0530","2026-03-04 11:15:54+0530","2026-03-04 11:15:54+0530","KSCL","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","722.3","727.72","713.63","0.6662","0.009457","30.48","47.27","346","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30"
"931eccfcb666939c","2026-03-04 11:15:00+05:30","2026-03-04 11:16:07+0530","2026-03-04 11:16:07+0530","2026-03-04 11:16:07+0530","PGEL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","582.3","586.67","575.31","0.5946","0.012338","29.07","33.62","429","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30"
"a9208b3a6fecb903","2026-03-04 11:15:00+05:30","2026-03-04 11:16:33+0530","2026-03-04 11:16:33+0530","2026-03-04 11:16:33+0530","ZYDUSLIFE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","891.75","898.44","881.05","0.5812","0.005427","35.07","35.8","280","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30"
"fd8f843db53dd88e","2026-03-04 11:15:00+05:30","2026-03-04 11:17:07+0530","2026-03-04 11:17:07+0530","2026-03-04 11:17:07+0530","DOMS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2194.0","2210.46","2167.67","0.7469","0.006304","23.8","47.29","113","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30"
"3db929c78241e280","2026-03-04 11:30:00+05:30","2026-03-04 11:30:38+0530","2026-03-04 11:30:38+0530","2026-03-04 11:30:38+0530","HINDCOPPER","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","544.2","548.28","537.67","0.6552","0.011882","26.7","35.19","459","2026-03-04 11:30:00+05:30","2026-03-04 11:30:00+05:30"
